Date,Price,Open,High,Low,Vol.,Change %
11/22/2021,30015.3,29816.6,30810.4,28981.7,23.62M,0.0067
11/23/2021,32082.6,30055.1,32082.6,29737.1,18.38M,0.0689
11/24/2021,32360.9,32519.9,32877.7,31844.1,15.09M,0.0087
11/25/2021,32241.7,32241.7,32957.2,31844.1,14.71M,-0.0037
11/26/2021,31009.2,32241.7,32400.7,30810.4,32.62M,-0.0382
11/29/2021,31764.6,30611.7,32003.1,30293.6,13.96M,0.0244
11/30/2021,31406.8,32400.7,32440.4,30850.2,19.99M,-0.0113
12/1/2021,31009.2,31287.5,31406.8,30611.7,17.32M,-0.0127
12/2/2021,30890,30890,31605.6,30651.4,9.22M,-0.0038
12/3/2021,29021.5,31168.3,31208,29021.5,20.85M,-0.0605
12/6/2021,29379.3,29419,30412.9,28663.7,22.24M,0.0123
12/7/2021,29697.3,29975.6,30055.1,29061.2,12.24M,0.0108
12/8/2021,30174.4,30055.1,30412.9,29617.8,11.14M,0.0161
12/9/2021,31764.6,29975.6,31764.6,29856.3,13.54M,0.0527
12/10/2021,31406.8,31605.6,32082.6,31009.2,11.30M,-0.0113
12/13/2021,32003.1,31565.8,32201.9,31049,16.66M,0.0190
12/14/2021,32082.6,32162.1,32519.9,31486.3,12.66M,0.0025
12/15/2021,31406.8,32042.9,32281.4,31406.8,10.60M,-0.0211
12/16/2021,30611.7,31446.5,31764.6,30373.1,23.68M,-0.0253
12/17/2021,31804.3,30850.2,31804.3,30412.9,24.60M,0.0390
12/20/2021,33871.6,32201.9,33990.9,31804.3,25.15M,0.0650
12/21/2021,33712.6,34030.6,34308.9,33474.1,14.27M,-0.0047
12/22/2021,33116.3,33990.9,33990.9,32917.5,18.03M,-0.0177
12/23/2021,31327.3,32798.2,32997,31009.2,30.52M,-0.0540
12/24/2021,31764.6,31406.8,32162.1,30611.7,11.25M,0.0140
12/27/2021,31804.3,32241.7,32758.5,31804.3,8.26M,0.0013
12/28/2021,31208,31844.1,32281.4,31208,13.73M,-0.0187
